"specimen_collection_date","age_group","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
2020-05-20,"31-40",8,553,2020-10-02 14:26:52
2020-05-21,"31-40",2,555,2020-10-02 14:26:52
2020-05-22,"31-40",7,562,2020-10-02 14:26:52
2020-05-23,"31-40",3,565,2020-10-02 14:26:52
2020-05-24,"31-40",2,567,2020-10-02 14:26:52
2020-05-25,"31-40",1,568,2020-10-02 14:26:52
2020-05-26,"31-40",14,582,2020-10-02 14:26:52
2020-05-27,"31-40",10,592,2020-10-02 14:26:52
2020-05-28,"31-40",6,598,2020-10-02 14:26:52
2020-05-29,"31-40",9,607,2020-10-02 14:26:52
2020-05-30,"31-40",8,615,2020-10-02 14:26:52
2020-05-31,"31-40",9,624,2020-10-02 14:26:52
2020-06-01,"31-40",8,632,2020-10-02 14:26:52
2020-06-02,"31-40",8,640,2020-10-02 14:26:52
2020-06-03,"31-40",10,650,2020-10-02 14:26:52
2020-06-04,"31-40",9,659,2020-10-02 14:26:52
2020-06-05,"31-40",5,664,2020-10-02 14:26:52
2020-06-06,"31-40",2,666,2020-10-02 14:26:52
2020-06-07,"31-40",3,669,2020-10-02 14:26:52
2020-06-08,"31-40",4,673,2020-10-02 14:26:52
2020-06-09,"31-40",7,680,2020-10-02 14:26:52
2020-06-10,"31-40",4,684,2020-10-02 14:26:52
2020-06-11,"31-40",8,692,2020-10-02 14:26:52
2020-06-12,"31-40",9,701,2020-10-02 14:26:52
2020-06-13,"31-40",8,709,2020-10-02 14:26:52
2020-06-14,"31-40",5,714,2020-10-02 14:26:52
2020-06-15,"31-40",7,721,2020-10-02 14:26:52
2020-06-16,"31-40",6,727,2020-10-02 14:26:52
2020-06-17,"31-40",14,741,2020-10-02 14:26:52
2020-06-18,"31-40",12,753,2020-10-02 14:26:52
2020-06-19,"31-40",10,763,2020-10-02 14:26:52
2020-06-20,"31-40",10,773,2020-10-02 14:26:52
2020-06-21,"31-40",5,778,2020-10-02 14:26:52
2020-06-22,"31-40",25,803,2020-10-02 14:26:52
2020-06-23,"31-40",15,818,2020-10-02 14:26:52
2020-06-24,"31-40",15,833,2020-10-02 14:26:52
2020-06-25,"31-40",14,847,2020-10-02 14:26:52
2020-06-26,"31-40",21,868,2020-10-02 14:26:52
2020-06-27,"31-40",14,882,2020-10-02 14:26:52
2020-06-28,"31-40",2,884,2020-10-02 14:26:52
2020-06-29,"31-40",24,908,2020-10-02 14:26:52
2020-06-30,"31-40",27,935,2020-10-02 14:26:52
2020-07-01,"31-40",19,954,2020-10-02 14:26:52
2020-07-02,"31-40",27,981,2020-10-02 14:26:52
2020-07-03,"31-40",20,1001,2020-10-02 14:26:52
2020-07-04,"31-40",7,1008,2020-10-02 14:26:52
2020-07-05,"31-40",11,1019,2020-10-02 14:26:52
2020-07-06,"31-40",18,1037,2020-10-02 14:26:52
2020-07-07,"31-40",26,1063,2020-10-02 14:26:52
2020-07-08,"31-40",35,1098,2020-10-02 14:26:52
2020-07-09,"31-40",27,1125,2020-10-02 14:26:52
2020-07-10,"31-40",27,1152,2020-10-02 14:26:52
2020-07-11,"31-40",20,1172,2020-10-02 14:26:52
2020-07-12,"31-40",16,1188,2020-10-02 14:26:52
2020-07-13,"31-40",41,1229,2020-10-02 14:26:52
2020-07-14,"31-40",47,1276,2020-10-02 14:26:52
2020-07-15,"31-40",36,1312,2020-10-02 14:26:52
2020-07-16,"31-40",31,1343,2020-10-02 14:26:52
2020-07-17,"31-40",43,1386,2020-10-02 14:26:52
2020-07-18,"31-40",21,1407,2020-10-02 14:26:52
2020-07-19,"31-40",16,1423,2020-10-02 14:26:52
2020-07-20,"31-40",35,1458,2020-10-02 14:26:52
2020-07-21,"31-40",36,1494,2020-10-02 14:26:52
2020-07-22,"31-40",29,1523,2020-10-02 14:26:52
2020-07-23,"31-40",37,1560,2020-10-02 14:26:52
2020-07-24,"31-40",26,1586,2020-10-02 14:26:52
2020-07-25,"31-40",14,1600,2020-10-02 14:26:52
2020-07-26,"31-40",18,1618,2020-10-02 14:26:52
2020-07-27,"31-40",22,1640,2020-10-02 14:26:52
2020-07-28,"31-40",21,1661,2020-10-02 14:26:52
2020-07-29,"31-40",32,1693,2020-10-02 14:26:52
2020-07-30,"31-40",28,1721,2020-10-02 14:26:52
2020-07-31,"31-40",24,1745,2020-10-02 14:26:52
2020-08-01,"31-40",15,1760,2020-10-02 14:26:52
2020-08-02,"31-40",8,1768,2020-10-02 14:26:52
2020-08-03,"31-40",24,1792,2020-10-02 14:26:52
2020-08-04,"31-40",17,1809,2020-10-02 14:26:52
2020-08-05,"31-40",30,1839,2020-10-02 14:26:52
2020-08-06,"31-40",17,1856,2020-10-02 14:26:52
2020-08-07,"31-40",27,1883,2020-10-02 14:26:52
2020-08-08,"31-40",17,1900,2020-10-02 14:26:52
2020-08-09,"31-40",18,1918,2020-10-02 14:26:52
2020-08-10,"31-40",27,1945,2020-10-02 14:26:52
2020-08-11,"31-40",19,1964,2020-10-02 14:26:52
2020-08-12,"31-40",31,1995,2020-10-02 14:26:52
2020-08-13,"31-40",23,2018,2020-10-02 14:26:52
2020-08-14,"31-40",28,2046,2020-10-02 14:26:52
2020-08-15,"31-40",18,2064,2020-10-02 14:26:52
2020-08-16,"31-40",6,2070,2020-10-02 14:26:52
2020-08-17,"31-40",17,2087,2020-10-02 14:26:52
2020-08-18,"31-40",26,2113,2020-10-02 14:26:52
2020-08-19,"31-40",18,2131,2020-10-02 14:26:52
2020-08-20,"31-40",16,2147,2020-10-02 14:26:52
2020-08-21,"31-40",21,2168,2020-10-02 14:26:52
2020-08-22,"31-40",9,2177,2020-10-02 14:26:52
2020-08-23,"31-40",10,2187,2020-10-02 14:26:52
2020-08-24,"31-40",20,2207,2020-10-02 14:26:52
2020-08-25,"31-40",13,2220,2020-10-02 14:26:52
2020-08-26,"31-40",23,2243,2020-10-02 14:26:52
2020-08-27,"31-40",26,2269,2020-10-02 14:26:52
2020-08-28,"31-40",18,2287,2020-10-02 14:26:52
2020-08-29,"31-40",10,2297,2020-10-02 14:26:52
2020-08-30,"31-40",9,2306,2020-10-02 14:26:52
2020-08-31,"31-40",10,2316,2020-10-02 14:26:52
2020-09-01,"31-40",15,2331,2020-10-02 14:26:52
2020-09-02,"31-40",12,2343,2020-10-02 14:26:52
2020-09-03,"31-40",23,2366,2020-10-02 14:26:52
2020-09-04,"31-40",18,2384,2020-10-02 14:26:52
2020-09-05,"31-40",10,2394,2020-10-02 14:26:52
2020-09-06,"31-40",6,2400,2020-10-02 14:26:52
2020-09-07,"31-40",10,2410,2020-10-02 14:26:52
2020-09-08,"31-40",11,2421,2020-10-02 14:26:52
2020-09-09,"31-40",15,2436,2020-10-02 14:26:52
2020-09-10,"31-40",7,2443,2020-10-02 14:26:52
2020-09-11,"31-40",11,2454,2020-10-02 14:26:52
2020-09-12,"31-40",5,2459,2020-10-02 14:26:52
2020-09-13,"31-40",4,2463,2020-10-02 14:26:52
2020-09-14,"31-40",23,2486,2020-10-02 14:26:52
2020-09-15,"31-40",13,2499,2020-10-02 14:26:52
2020-09-16,"31-40",12,2511,2020-10-02 14:26:52
2020-09-17,"31-40",13,2524,2020-10-02 14:26:52
2020-09-18,"31-40",15,2539,2020-10-02 14:26:52
2020-09-19,"31-40",6,2545,2020-10-02 14:26:52
2020-09-20,"31-40",4,2549,2020-10-02 14:26:52
2020-09-21,"31-40",12,2561,2020-10-02 14:26:52
2020-09-22,"31-40",16,2577,2020-10-02 14:26:52
2020-09-23,"31-40",12,2589,2020-10-02 14:26:52
2020-09-24,"31-40",10,2599,2020-10-02 14:26:52
2020-09-25,"31-40",7,2606,2020-10-02 14:26:52
2020-09-26,"31-40",4,2610,2020-10-02 14:26:52
2020-09-27,"31-40",9,2619,2020-10-02 14:26:52
2020-09-28,"31-40",11,2630,2020-10-02 14:26:52
2020-09-29,"31-40",9,2639,2020-10-02 14:26:52
2020-09-30,"31-40",6,2645,2020-10-02 14:26:52
2020-10-01,"31-40",0,2645,2020-10-02 14:26:52
2020-03-07,"18-30",3,5,2020-10-02 14:26:52
2020-03-08,"18-30",0,5,2020-10-02 14:26:52
2020-03-09,"18-30",0,5,2020-10-02 14:26:52
2020-03-10,"18-30",0,5,2020-10-02 14:26:52
2020-03-11,"18-30",3,8,2020-10-02 14:26:52
2020-03-12,"18-30",0,8,2020-10-02 14:26:52
2020-03-13,"18-30",3,11,2020-10-02 14:26:52
2020-03-14,"18-30",4,15,2020-10-02 14:26:52
2020-03-15,"18-30",2,17,2020-10-02 14:26:52
2020-03-16,"18-30",2,19,2020-10-02 14:26:52
2020-03-17,"18-30",4,23,2020-10-02 14:26:52
2020-03-18,"18-30",6,29,2020-10-02 14:26:52
2020-03-19,"18-30",3,32,2020-10-02 14:26:52
2020-03-20,"18-30",8,40,2020-10-02 14:26:52
2020-03-21,"18-30",2,42,2020-10-02 14:26:52
2020-03-22,"18-30",6,48,2020-10-02 14:26:52
2020-03-23,"18-30",7,55,2020-10-02 14:26:52
2020-03-24,"18-30",8,63,2020-10-02 14:26:52
2020-03-25,"18-30",7,70,2020-10-02 14:26:52
2020-03-26,"18-30",6,76,2020-10-02 14:26:52
2020-03-27,"18-30",4,80,2020-10-02 14:26:52
2020-03-28,"18-30",4,84,2020-10-02 14:26:52
2020-03-29,"18-30",2,86,2020-10-02 14:26:52
2020-03-30,"18-30",7,93,2020-10-02 14:26:52
2020-03-31,"18-30",10,103,2020-10-02 14:26:52
2020-04-01,"18-30",10,113,2020-10-02 14:26:52
2020-04-02,"18-30",7,120,2020-10-02 14:26:52
2020-04-03,"18-30",3,123,2020-10-02 14:26:52
2020-04-04,"18-30",2,125,2020-10-02 14:26:52
2020-04-05,"18-30",9,134,2020-10-02 14:26:52
2020-04-06,"18-30",9,143,2020-10-02 14:26:52
2020-04-07,"18-30",11,154,2020-10-02 14:26:52
2020-04-08,"18-30",6,160,2020-10-02 14:26:52
2020-04-09,"18-30",13,173,2020-10-02 14:26:52
2020-04-10,"18-30",2,175,2020-10-02 14:26:52
2020-04-11,"18-30",5,180,2020-10-02 14:26:52
2020-04-12,"18-30",3,183,2020-10-02 14:26:52
2020-04-13,"18-30",4,187,2020-10-02 14:26:52
2020-04-14,"18-30",4,191,2020-10-02 14:26:52
2020-04-15,"18-30",3,194,2020-10-02 14:26:52
2020-04-16,"18-30",6,200,2020-10-02 14:26:52
2020-04-17,"18-30",7,207,2020-10-02 14:26:52
2020-04-18,"18-30",1,208,2020-10-02 14:26:52
2020-04-19,"18-30",2,210,2020-10-02 14:26:52
2020-04-20,"18-30",6,216,2020-10-02 14:26:52
2020-04-21,"18-30",7,223,2020-10-02 14:26:52
2020-04-22,"18-30",3,226,2020-10-02 14:26:52
2020-04-23,"18-30",5,231,2020-10-02 14:26:52
2020-04-24,"18-30",8,239,2020-10-02 14:26:52
2020-04-25,"18-30",3,242,2020-10-02 14:26:52
2020-04-26,"18-30",7,249,2020-10-02 14:26:52
2020-04-27,"18-30",9,258,2020-10-02 14:26:52
2020-04-28,"18-30",23,281,2020-10-02 14:26:52
2020-04-29,"18-30",14,295,2020-10-02 14:26:52
2020-04-30,"18-30",10,305,2020-10-02 14:26:52
2020-05-01,"18-30",2,307,2020-10-02 14:26:52
2020-05-02,"18-30",10,317,2020-10-02 14:26:52
2020-05-03,"18-30",0,317,2020-10-02 14:26:52
2020-05-04,"18-30",9,326,2020-10-02 14:26:52
2020-05-05,"18-30",10,336,2020-10-02 14:26:52
2020-05-06,"18-30",13,349,2020-10-02 14:26:52
2020-05-07,"18-30",2,351,2020-10-02 14:26:52
2020-05-08,"18-30",6,357,2020-10-02 14:26:52
2020-05-09,"18-30",2,359,2020-10-02 14:26:52
2020-05-10,"18-30",2,361,2020-10-02 14:26:52
2020-05-11,"18-30",3,364,2020-10-02 14:26:52
2020-05-12,"18-30",7,371,2020-10-02 14:26:52
2020-05-13,"18-30",6,377,2020-10-02 14:26:52
2020-05-14,"18-30",10,387,2020-10-02 14:26:52
2020-05-15,"18-30",4,391,2020-10-02 14:26:52
2020-05-16,"18-30",0,391,2020-10-02 14:26:52
2020-05-17,"18-30",2,393,2020-10-02 14:26:52
2020-05-18,"18-30",11,404,2020-10-02 14:26:52
2020-05-19,"18-30",12,416,2020-10-02 14:26:52
2020-05-20,"18-30",8,424,2020-10-02 14:26:52
2020-05-21,"18-30",8,432,2020-10-02 14:26:52
2020-05-22,"18-30",10,442,2020-10-02 14:26:52
2020-05-23,"18-30",6,448,2020-10-02 14:26:52
2020-05-24,"18-30",5,453,2020-10-02 14:26:52
2020-05-25,"18-30",4,457,2020-10-02 14:26:52
2020-05-26,"18-30",10,467,2020-10-02 14:26:52
2020-05-27,"18-30",6,473,2020-10-02 14:26:52
2020-05-28,"18-30",5,478,2020-10-02 14:26:52
2020-05-29,"18-30",8,486,2020-10-02 14:26:52
2020-05-30,"18-30",7,493,2020-10-02 14:26:52
2020-05-31,"18-30",6,499,2020-10-02 14:26:52
2020-06-01,"18-30",12,511,2020-10-02 14:26:52
2020-06-02,"18-30",9,520,2020-10-02 14:26:52
2020-06-03,"18-30",7,527,2020-10-02 14:26:52
2020-06-04,"18-30",11,538,2020-10-02 14:26:52
2020-06-05,"18-30",8,546,2020-10-02 14:26:52
2020-06-06,"18-30",2,548,2020-10-02 14:26:52
2020-06-07,"18-30",6,554,2020-10-02 14:26:52
2020-06-08,"18-30",13,567,2020-10-02 14:26:52
2020-06-09,"18-30",6,573,2020-10-02 14:26:52
2020-06-10,"18-30",5,578,2020-10-02 14:26:52
2020-06-11,"18-30",5,583,2020-10-02 14:26:52
2020-06-12,"18-30",4,587,2020-10-02 14:26:52
2020-06-13,"18-30",6,593,2020-10-02 14:26:52
2020-06-14,"18-30",5,598,2020-10-02 14:26:52
2020-06-15,"18-30",10,608,2020-10-02 14:26:52
2020-06-16,"18-30",17,625,2020-10-02 14:26:52
2020-06-17,"18-30",14,639,2020-10-02 14:26:52
2020-06-18,"18-30",14,653,2020-10-02 14:26:52
2020-06-19,"18-30",12,665,2020-10-02 14:26:52
2020-06-20,"18-30",14,679,2020-10-02 14:26:52
2020-06-21,"18-30",16,695,2020-10-02 14:26:52
2020-06-22,"18-30",27,722,2020-10-02 14:26:52
2020-06-23,"18-30",18,740,2020-10-02 14:26:52
2020-06-24,"18-30",20,760,2020-10-02 14:26:52
2020-06-25,"18-30",26,786,2020-10-02 14:26:52
2020-06-26,"18-30",20,806,2020-10-02 14:26:52
2020-06-27,"18-30",18,824,2020-10-02 14:26:52
2020-06-28,"18-30",13,837,2020-10-02 14:26:52
2020-06-29,"18-30",19,856,2020-10-02 14:26:52
2020-06-30,"18-30",25,881,2020-10-02 14:26:52
2020-07-01,"18-30",24,905,2020-10-02 14:26:52
2020-07-02,"18-30",39,944,2020-10-02 14:26:52
2020-07-03,"18-30",22,966,2020-10-02 14:26:52
2020-07-04,"18-30",11,977,2020-10-02 14:26:52
2020-07-05,"18-30",16,993,2020-10-02 14:26:52
2020-07-06,"18-30",24,1017,2020-10-02 14:26:52
2020-07-07,"18-30",36,1053,2020-10-02 14:26:52
2020-07-08,"18-30",28,1081,2020-10-02 14:26:52
2020-07-09,"18-30",38,1119,2020-10-02 14:26:52
2020-07-10,"18-30",37,1156,2020-10-02 14:26:52
2020-07-11,"18-30",19,1175,2020-10-02 14:26:52
2020-07-12,"18-30",15,1190,2020-10-02 14:26:52
2020-07-13,"18-30",37,1227,2020-10-02 14:26:52
2020-07-14,"18-30",42,1269,2020-10-02 14:26:52
2020-07-15,"18-30",43,1312,2020-10-02 14:26:52
2020-07-16,"18-30",39,1351,2020-10-02 14:26:52
2020-07-17,"18-30",41,1392,2020-10-02 14:26:52
2020-07-18,"18-30",20,1412,2020-10-02 14:26:52
2020-07-19,"18-30",16,1428,2020-10-02 14:26:52
2020-07-20,"18-30",38,1466,2020-10-02 14:26:52
2020-07-21,"18-30",28,1494,2020-10-02 14:26:52
2020-07-22,"18-30",37,1531,2020-10-02 14:26:52
2020-07-23,"18-30",32,1563,2020-10-02 14:26:52
2020-07-24,"18-30",28,1591,2020-10-02 14:26:52
2020-07-25,"18-30",25,1616,2020-10-02 14:26:52
2020-07-26,"18-30",17,1633,2020-10-02 14:26:52
2020-07-27,"18-30",33,1666,2020-10-02 14:26:52
2020-07-28,"18-30",20,1686,2020-10-02 14:26:52
2020-07-29,"18-30",36,1722,2020-10-02 14:26:52
2020-07-30,"18-30",22,1744,2020-10-02 14:26:52
2020-07-31,"18-30",31,1775,2020-10-02 14:26:52
2020-08-01,"18-30",17,1792,2020-10-02 14:26:52
2020-08-02,"18-30",13,1805,2020-10-02 14:26:52
2020-08-03,"18-30",32,1837,2020-10-02 14:26:52
2020-08-04,"18-30",18,1855,2020-10-02 14:26:52
2020-08-05,"18-30",37,1892,2020-10-02 14:26:52
2020-08-06,"18-30",31,1923,2020-10-02 14:26:52
2020-08-07,"18-30",27,1950,2020-10-02 14:26:52
2020-08-08,"18-30",13,1963,2020-10-02 14:26:52
2020-08-09,"18-30",15,1978,2020-10-02 14:26:52
2020-08-10,"18-30",22,2000,2020-10-02 14:26:52
2020-08-11,"18-30",31,2031,2020-10-02 14:26:52
2020-08-12,"18-30",38,2069,2020-10-02 14:26:52
2020-08-13,"18-30",21,2090,2020-10-02 14:26:52
2020-08-14,"18-30",21,2111,2020-10-02 14:26:52
2020-08-15,"18-30",14,2125,2020-10-02 14:26:52
2020-08-16,"18-30",9,2134,2020-10-02 14:26:52
2020-08-17,"18-30",23,2157,2020-10-02 14:26:52
2020-08-18,"18-30",17,2174,2020-10-02 14:26:52
2020-08-19,"18-30",19,2193,2020-10-02 14:26:52
2020-08-20,"18-30",25,2218,2020-10-02 14:26:52
2020-08-21,"18-30",17,2235,2020-10-02 14:26:52
2020-08-22,"18-30",10,2245,2020-10-02 14:26:52
2020-08-23,"18-30",7,2252,2020-10-02 14:26:52
2020-08-24,"18-30",23,2275,2020-10-02 14:26:52
2020-08-25,"18-30",18,2293,2020-10-02 14:26:52
2020-08-26,"18-30",24,2317,2020-10-02 14:26:52
2020-08-27,"18-30",24,2341,2020-10-02 14:26:52
2020-08-28,"18-30",14,2355,2020-10-02 14:26:52
2020-08-29,"18-30",14,2369,2020-10-02 14:26:52
2020-08-30,"18-30",14,2383,2020-10-02 14:26:52
2020-08-31,"18-30",27,2410,2020-10-02 14:26:52
2020-09-01,"18-30",25,2435,2020-10-02 14:26:52
2020-09-02,"18-30",22,2457,2020-10-02 14:26:52
2020-09-03,"18-30",22,2479,2020-10-02 14:26:52
2020-09-04,"18-30",18,2497,2020-10-02 14:26:52
2020-09-05,"18-30",6,2503,2020-10-02 14:26:52
2020-09-06,"18-30",7,2510,2020-10-02 14:26:52
2020-09-07,"18-30",8,2518,2020-10-02 14:26:52
2020-09-08,"18-30",18,2536,2020-10-02 14:26:52
2020-09-09,"18-30",14,2550,2020-10-02 14:26:52
2020-09-10,"18-30",18,2568,2020-10-02 14:26:52
2020-09-11,"18-30",15,2583,2020-10-02 14:26:52
2020-09-12,"18-30",11,2594,2020-10-02 14:26:52
2020-09-13,"18-30",7,2601,2020-10-02 14:26:52
2020-09-14,"18-30",23,2624,2020-10-02 14:26:52
2020-09-15,"18-30",17,2641,2020-10-02 14:26:52
2020-09-16,"18-30",9,2650,2020-10-02 14:26:52
2020-09-17,"18-30",12,2662,2020-10-02 14:26:52
2020-09-18,"18-30",20,2682,2020-10-02 14:26:52
2020-09-19,"18-30",8,2690,2020-10-02 14:26:52
2020-09-20,"18-30",3,2693,2020-10-02 14:26:52
2020-09-21,"18-30",13,2706,2020-10-02 14:26:52
2020-09-22,"18-30",12,2718,2020-10-02 14:26:52
2020-09-23,"18-30",13,2731,2020-10-02 14:26:52
2020-09-24,"18-30",24,2755,2020-10-02 14:26:52
2020-09-25,"18-30",12,2767,2020-10-02 14:26:52
2020-09-26,"18-30",2,2769,2020-10-02 14:26:52
2020-09-27,"18-30",5,2774,2020-10-02 14:26:52
2020-09-28,"18-30",10,2784,2020-10-02 14:26:52
2020-09-29,"18-30",8,2792,2020-10-02 14:26:52
2020-09-30,"18-30",11,2803,2020-10-02 14:26:52
2020-10-01,"18-30",0,2803,2020-10-02 14:26:52
2020-03-18,"81+",1,5,2020-10-02 14:26:52
2020-03-19,"81+",1,6,2020-10-02 14:26:52
2020-03-20,"81+",0,6,2020-10-02 14:26:52
2020-03-21,"81+",1,7,2020-10-02 14:26:52
2020-03-22,"81+",2,9,2020-10-02 14:26:52
2020-03-23,"81+",1,10,2020-10-02 14:26:52
2020-03-24,"81+",1,11,2020-10-02 14:26:52
2020-03-25,"81+",1,12,2020-10-02 14:26:52
2020-03-26,"81+",4,16,2020-10-02 14:26:52
2020-03-27,"81+",1,17,2020-10-02 14:26:52
2020-03-28,"81+",1,18,2020-10-02 14:26:52
2020-03-29,"81+",2,20,2020-10-02 14:26:52
2020-03-30,"81+",1,21,2020-10-02 14:26:52
2020-03-31,"81+",2,23,2020-10-02 14:26:52
2020-04-01,"81+",2,25,2020-10-02 14:26:52
2020-04-02,"81+",2,27,2020-10-02 14:26:52
2020-04-03,"81+",0,27,2020-10-02 14:26:52
2020-04-04,"81+",1,28,2020-10-02 14:26:52
2020-04-05,"81+",2,30,2020-10-02 14:26:52
2020-04-06,"81+",2,32,2020-10-02 14:26:52
2020-04-07,"81+",4,36,2020-10-02 14:26:52
2020-04-08,"81+",1,37,2020-10-02 14:26:52
2020-04-09,"81+",1,38,2020-10-02 14:26:52
2020-04-10,"81+",0,38,2020-10-02 14:26:52
2020-04-11,"81+",2,40,2020-10-02 14:26:52
2020-04-12,"81+",2,42,2020-10-02 14:26:52
2020-04-13,"81+",2,44,2020-10-02 14:26:52
2020-04-14,"81+",5,49,2020-10-02 14:26:52
2020-04-15,"81+",14,63,2020-10-02 14:26:52
2020-04-16,"81+",2,65,2020-10-02 14:26:52
2020-04-17,"81+",3,68,2020-10-02 14:26:52
2020-04-18,"81+",1,69,2020-10-02 14:26:52
2020-04-19,"81+",3,72,2020-10-02 14:26:52
2020-04-20,"81+",2,74,2020-10-02 14:26:52
2020-04-21,"81+",2,76,2020-10-02 14:26:52
2020-04-22,"81+",1,77,2020-10-02 14:26:52
2020-04-23,"81+",5,82,2020-10-02 14:26:52
2020-04-24,"81+",2,84,2020-10-02 14:26:52
2020-04-25,"81+",8,92,2020-10-02 14:26:52
2020-04-26,"81+",1,93,2020-10-02 14:26:52
2020-04-27,"81+",2,95,2020-10-02 14:26:52
2020-04-28,"81+",1,96,2020-10-02 14:26:52
2020-04-29,"81+",1,97,2020-10-02 14:26:52
2020-04-30,"81+",0,97,2020-10-02 14:26:52
2020-05-01,"81+",2,99,2020-10-02 14:26:52
2020-05-02,"81+",1,100,2020-10-02 14:26:52
2020-05-03,"81+",0,100,2020-10-02 14:26:52
2020-05-04,"81+",1,101,2020-10-02 14:26:52
2020-05-05,"81+",0,101,2020-10-02 14:26:52
2020-05-06,"81+",1,102,2020-10-02 14:26:52
2020-05-07,"81+",0,102,2020-10-02 14:26:52
2020-05-08,"81+",0,102,2020-10-02 14:26:52
2020-05-09,"81+",1,103,2020-10-02 14:26:52
2020-05-10,"81+",0,103,2020-10-02 14:26:52
2020-05-11,"81+",0,103,2020-10-02 14:26:52
2020-05-12,"81+",8,111,2020-10-02 14:26:52
2020-05-13,"81+",0,111,2020-10-02 14:26:52
2020-05-14,"81+",0,111,2020-10-02 14:26:52
2020-05-15,"81+",0,111,2020-10-02 14:26:52
2020-05-16,"81+",1,112,2020-10-02 14:26:52
2020-05-17,"81+",0,112,2020-10-02 14:26:52
2020-05-18,"81+",1,113,2020-10-02 14:26:52
2020-05-19,"81+",0,113,2020-10-02 14:26:52
2020-05-20,"81+",1,114,2020-10-02 14:26:52
2020-05-21,"81+",1,115,2020-10-02 14:26:52
2020-05-22,"81+",1,116,2020-10-02 14:26:52
2020-05-23,"81+",0,116,2020-10-02 14:26:52
2020-05-24,"81+",0,116,2020-10-02 14:26:52
2020-05-25,"81+",0,116,2020-10-02 14:26:52
2020-05-26,"81+",0,116,2020-10-02 14:26:52
2020-05-27,"81+",1,117,2020-10-02 14:26:52
2020-05-28,"81+",2,119,2020-10-02 14:26:52
2020-05-29,"81+",0,119,2020-10-02 14:26:52
2020-05-30,"81+",0,119,2020-10-02 14:26:52
2020-05-31,"81+",0,119,2020-10-02 14:26:52
2020-06-01,"81+",1,120,2020-10-02 14:26:52
2020-06-02,"81+",1,121,2020-10-02 14:26:52
2020-06-03,"81+",0,121,2020-10-02 14:26:52
2020-06-04,"81+",1,122,2020-10-02 14:26:52
2020-06-05,"81+",4,126,2020-10-02 14:26:52
2020-06-06,"81+",0,126,2020-10-02 14:26:52
2020-06-07,"81+",0,126,2020-10-02 14:26:52
2020-06-08,"81+",2,128,2020-10-02 14:26:52
2020-06-09,"81+",0,128,2020-10-02 14:26:52
2020-06-10,"81+",1,129,2020-10-02 14:26:52
2020-06-11,"81+",0,129,2020-10-02 14:26:52
2020-06-12,"81+",0,129,2020-10-02 14:26:52
2020-06-13,"81+",0,129,2020-10-02 14:26:52
2020-06-14,"81+",0,129,2020-10-02 14:26:52
2020-06-15,"81+",0,129,2020-10-02 14:26:52
2020-06-16,"81+",0,129,2020-10-02 14:26:52
2020-06-17,"81+",0,129,2020-10-02 14:26:52
2020-06-18,"81+",0,129,2020-10-02 14:26:52
2020-06-19,"81+",2,131,2020-10-02 14:26:52
2020-06-20,"81+",0,131,2020-10-02 14:26:52
2020-06-21,"81+",0,131,2020-10-02 14:26:52
2020-06-22,"81+",0,131,2020-10-02 14:26:52
2020-06-23,"81+",0,131,2020-10-02 14:26:52
2020-06-24,"81+",0,131,2020-10-02 14:26:52
2020-06-25,"81+",2,133,2020-10-02 14:26:52
2020-06-26,"81+",1,134,2020-10-02 14:26:52
2020-06-27,"81+",1,135,2020-10-02 14:26:52
2020-06-28,"81+",2,137,2020-10-02 14:26:52
2020-06-29,"81+",1,138,2020-10-02 14:26:52
2020-06-30,"81+",1,139,2020-10-02 14:26:52
2020-07-01,"81+",1,140,2020-10-02 14:26:52
2020-07-02,"81+",2,142,2020-10-02 14:26:52
2020-07-03,"81+",0,142,2020-10-02 14:26:52
2020-07-04,"81+",0,142,2020-10-02 14:26:52
2020-07-05,"81+",3,145,2020-10-02 14:26:52
2020-07-06,"81+",2,147,2020-10-02 14:26:52
2020-07-07,"81+",1,148,2020-10-02 14:26:52
2020-07-08,"81+",2,150,2020-10-02 14:26:52
2020-07-09,"81+",1,151,2020-10-02 14:26:52
2020-07-10,"81+",1,152,2020-10-02 14:26:52
2020-07-11,"81+",1,153,2020-10-02 14:26:52
2020-07-12,"81+",1,154,2020-10-02 14:26:52
2020-07-13,"81+",2,156,2020-10-02 14:26:52
2020-07-14,"81+",4,160,2020-10-02 14:26:52
2020-07-15,"81+",1,161,2020-10-02 14:26:52
2020-07-16,"81+",0,161,2020-10-02 14:26:52
2020-07-17,"81+",2,163,2020-10-02 14:26:52
2020-07-18,"81+",0,163,2020-10-02 14:26:52
2020-07-19,"81+",0,163,2020-10-02 14:26:52
2020-07-20,"81+",1,164,2020-10-02 14:26:52
2020-07-21,"81+",2,166,2020-10-02 14:26:52
2020-07-22,"81+",0,166,2020-10-02 14:26:52
2020-07-23,"81+",2,168,2020-10-02 14:26:52
2020-07-24,"81+",1,169,2020-10-02 14:26:52
2020-07-25,"81+",1,170,2020-10-02 14:26:52
2020-07-26,"81+",1,171,2020-10-02 14:26:52
2020-07-27,"81+",0,171,2020-10-02 14:26:52
2020-07-28,"81+",1,172,2020-10-02 14:26:52
2020-07-29,"81+",6,178,2020-10-02 14:26:52
2020-07-30,"81+",2,180,2020-10-02 14:26:52
