"specimen_collection_date","age_group","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
2020-06-15,"51-60",2,394,2020-10-02 14:26:52
2020-06-16,"51-60",1,395,2020-10-02 14:26:52
2020-06-17,"51-60",2,397,2020-10-02 14:26:52
2020-06-18,"51-60",5,402,2020-10-02 14:26:52
2020-06-19,"51-60",2,404,2020-10-02 14:26:52
2020-06-20,"51-60",4,408,2020-10-02 14:26:52
2020-06-21,"51-60",1,409,2020-10-02 14:26:52
2020-06-22,"51-60",17,426,2020-10-02 14:26:52
2020-06-23,"51-60",5,431,2020-10-02 14:26:52
2020-06-24,"51-60",2,433,2020-10-02 14:26:52
2020-06-25,"51-60",10,443,2020-10-02 14:26:52
2020-06-26,"51-60",6,449,2020-10-02 14:26:52
2020-06-27,"51-60",4,453,2020-10-02 14:26:52
2020-06-28,"51-60",7,460,2020-10-02 14:26:52
2020-06-29,"51-60",4,464,2020-10-02 14:26:52
2020-06-30,"51-60",6,470,2020-10-02 14:26:52
2020-07-01,"51-60",9,479,2020-10-02 14:26:52
2020-07-02,"51-60",10,489,2020-10-02 14:26:52
2020-07-03,"51-60",6,495,2020-10-02 14:26:52
2020-07-04,"51-60",9,504,2020-10-02 14:26:52
2020-07-05,"51-60",5,509,2020-10-02 14:26:52
2020-07-06,"51-60",14,523,2020-10-02 14:26:52
2020-07-07,"51-60",10,533,2020-10-02 14:26:52
2020-07-08,"51-60",13,546,2020-10-02 14:26:52
2020-07-09,"51-60",16,562,2020-10-02 14:26:52
2020-07-10,"51-60",12,574,2020-10-02 14:26:52
2020-07-11,"51-60",2,576,2020-10-02 14:26:52
2020-07-12,"51-60",8,584,2020-10-02 14:26:52
2020-07-13,"51-60",8,592,2020-10-02 14:26:52
2020-07-14,"51-60",12,604,2020-10-02 14:26:52
2020-07-15,"51-60",14,618,2020-10-02 14:26:52
2020-07-16,"51-60",18,636,2020-10-02 14:26:52
2020-07-17,"51-60",15,651,2020-10-02 14:26:52
2020-07-18,"51-60",9,660,2020-10-02 14:26:52
2020-07-19,"51-60",13,673,2020-10-02 14:26:52
2020-07-20,"51-60",18,691,2020-10-02 14:26:52
2020-07-21,"51-60",11,702,2020-10-02 14:26:52
2020-07-22,"51-60",16,718,2020-10-02 14:26:52
2020-07-23,"51-60",7,725,2020-10-02 14:26:52
2020-07-24,"51-60",20,745,2020-10-02 14:26:52
2020-07-25,"51-60",8,753,2020-10-02 14:26:52
2020-07-26,"51-60",6,759,2020-10-02 14:26:52
2020-07-27,"51-60",8,767,2020-10-02 14:26:52
2020-07-28,"51-60",16,783,2020-10-02 14:26:52
2020-07-29,"51-60",17,800,2020-10-02 14:26:52
2020-07-30,"51-60",18,818,2020-10-02 14:26:52
2020-07-31,"51-60",15,833,2020-10-02 14:26:52
2020-08-01,"51-60",4,837,2020-10-02 14:26:52
2020-08-02,"51-60",2,839,2020-10-02 14:26:52
2020-08-03,"51-60",11,850,2020-10-02 14:26:52
2020-08-04,"51-60",7,857,2020-10-02 14:26:52
2020-08-05,"51-60",16,873,2020-10-02 14:26:52
2020-08-06,"51-60",12,885,2020-10-02 14:26:52
2020-08-07,"51-60",13,898,2020-10-02 14:26:52
2020-08-08,"51-60",4,902,2020-10-02 14:26:52
2020-08-09,"51-60",8,910,2020-10-02 14:26:52
2020-08-10,"51-60",13,923,2020-10-02 14:26:52
2020-08-11,"51-60",13,936,2020-10-02 14:26:52
2020-08-12,"51-60",15,951,2020-10-02 14:26:52
2020-08-13,"51-60",9,960,2020-10-02 14:26:52
2020-08-14,"51-60",11,971,2020-10-02 14:26:52
2020-08-15,"51-60",8,979,2020-10-02 14:26:52
2020-08-16,"51-60",7,986,2020-10-02 14:26:52
2020-08-17,"51-60",8,994,2020-10-02 14:26:52
2020-08-18,"51-60",10,1004,2020-10-02 14:26:52
2020-08-19,"51-60",13,1017,2020-10-02 14:26:52
2020-08-20,"51-60",9,1026,2020-10-02 14:26:52
2020-08-21,"51-60",6,1032,2020-10-02 14:26:52
2020-08-22,"51-60",5,1037,2020-10-02 14:26:52
2020-08-23,"51-60",5,1042,2020-10-02 14:26:52
2020-08-24,"51-60",10,1052,2020-10-02 14:26:52
2020-08-25,"51-60",10,1062,2020-10-02 14:26:52
2020-08-26,"51-60",9,1071,2020-10-02 14:26:52
2020-08-27,"51-60",7,1078,2020-10-02 14:26:52
2020-08-28,"51-60",5,1083,2020-10-02 14:26:52
2020-08-29,"51-60",4,1087,2020-10-02 14:26:52
2020-08-30,"51-60",3,1090,2020-10-02 14:26:52
2020-08-31,"51-60",13,1103,2020-10-02 14:26:52
2020-09-01,"51-60",12,1115,2020-10-02 14:26:52
2020-09-02,"51-60",10,1125,2020-10-02 14:26:52
2020-09-03,"51-60",4,1129,2020-10-02 14:26:52
2020-09-04,"51-60",8,1137,2020-10-02 14:26:52
2020-09-05,"51-60",4,1141,2020-10-02 14:26:52
2020-09-06,"51-60",4,1145,2020-10-02 14:26:52
2020-09-07,"51-60",3,1148,2020-10-02 14:26:52
2020-09-08,"51-60",9,1157,2020-10-02 14:26:52
2020-09-09,"51-60",3,1160,2020-10-02 14:26:52
2020-09-10,"51-60",6,1166,2020-10-02 14:26:52
2020-09-11,"51-60",16,1182,2020-10-02 14:26:52
2020-09-12,"51-60",6,1188,2020-10-02 14:26:52
2020-09-13,"51-60",6,1194,2020-10-02 14:26:52
2020-09-14,"51-60",11,1205,2020-10-02 14:26:52
2020-09-15,"51-60",10,1215,2020-10-02 14:26:52
2020-09-16,"51-60",8,1223,2020-10-02 14:26:52
2020-09-17,"51-60",7,1230,2020-10-02 14:26:52
2020-09-18,"51-60",6,1236,2020-10-02 14:26:52
2020-09-19,"51-60",5,1241,2020-10-02 14:26:52
2020-09-20,"51-60",4,1245,2020-10-02 14:26:52
2020-09-21,"51-60",11,1256,2020-10-02 14:26:52
2020-09-22,"51-60",8,1264,2020-10-02 14:26:52
2020-09-23,"51-60",6,1270,2020-10-02 14:26:52
2020-09-24,"51-60",4,1274,2020-10-02 14:26:52
2020-09-25,"51-60",5,1279,2020-10-02 14:26:52
2020-09-26,"51-60",1,1280,2020-10-02 14:26:52
2020-09-27,"51-60",6,1286,2020-10-02 14:26:52
2020-09-28,"51-60",7,1293,2020-10-02 14:26:52
2020-09-29,"51-60",2,1295,2020-10-02 14:26:52
2020-09-30,"51-60",6,1301,2020-10-02 14:26:52
2020-10-01,"51-60",0,1301,2020-10-02 14:26:52
2020-03-15,"71-80",3,6,2020-10-02 14:26:52
2020-03-16,"71-80",2,8,2020-10-02 14:26:52
2020-03-17,"71-80",1,9,2020-10-02 14:26:52
2020-03-18,"71-80",1,10,2020-10-02 14:26:52
2020-03-19,"71-80",2,12,2020-10-02 14:26:52
2020-03-20,"71-80",2,14,2020-10-02 14:26:52
2020-03-21,"71-80",1,15,2020-10-02 14:26:52
2020-03-22,"71-80",0,15,2020-10-02 14:26:52
2020-03-23,"71-80",3,18,2020-10-02 14:26:52
2020-03-24,"71-80",2,20,2020-10-02 14:26:52
2020-03-25,"71-80",3,23,2020-10-02 14:26:52
2020-03-26,"71-80",3,26,2020-10-02 14:26:52
2020-03-27,"71-80",2,28,2020-10-02 14:26:52
2020-03-28,"71-80",0,28,2020-10-02 14:26:52
2020-03-29,"71-80",4,32,2020-10-02 14:26:52
2020-03-30,"71-80",2,34,2020-10-02 14:26:52
2020-03-31,"71-80",3,37,2020-10-02 14:26:52
2020-04-01,"71-80",3,40,2020-10-02 14:26:52
2020-04-02,"71-80",3,43,2020-10-02 14:26:52
2020-04-03,"71-80",3,46,2020-10-02 14:26:52
2020-04-04,"71-80",0,46,2020-10-02 14:26:52
2020-04-05,"71-80",3,49,2020-10-02 14:26:52
2020-04-06,"71-80",3,52,2020-10-02 14:26:52
2020-04-07,"71-80",5,57,2020-10-02 14:26:52
2020-04-08,"71-80",4,61,2020-10-02 14:26:52
2020-04-09,"71-80",2,63,2020-10-02 14:26:52
2020-04-10,"71-80",1,64,2020-10-02 14:26:52
2020-04-11,"71-80",1,65,2020-10-02 14:26:52
2020-04-12,"71-80",3,68,2020-10-02 14:26:52
2020-04-13,"71-80",2,70,2020-10-02 14:26:52
2020-04-14,"71-80",3,73,2020-10-02 14:26:52
2020-04-15,"71-80",6,79,2020-10-02 14:26:52
2020-04-16,"71-80",0,79,2020-10-02 14:26:52
2020-04-17,"71-80",4,83,2020-10-02 14:26:52
2020-04-18,"71-80",0,83,2020-10-02 14:26:52
2020-04-19,"71-80",0,83,2020-10-02 14:26:52
2020-04-20,"71-80",1,84,2020-10-02 14:26:52
2020-04-21,"71-80",0,84,2020-10-02 14:26:52
2020-04-22,"71-80",1,85,2020-10-02 14:26:52
2020-04-23,"71-80",8,93,2020-10-02 14:26:52
2020-04-24,"71-80",5,98,2020-10-02 14:26:52
2020-04-25,"71-80",9,107,2020-10-02 14:26:52
2020-04-26,"71-80",1,108,2020-10-02 14:26:52
2020-04-27,"71-80",3,111,2020-10-02 14:26:52
2020-04-28,"71-80",4,115,2020-10-02 14:26:52
2020-04-29,"71-80",2,117,2020-10-02 14:26:52
2020-04-30,"71-80",3,120,2020-10-02 14:26:52
2020-05-01,"71-80",1,121,2020-10-02 14:26:52
2020-05-02,"71-80",0,121,2020-10-02 14:26:52
2020-05-03,"71-80",0,121,2020-10-02 14:26:52
2020-05-04,"71-80",0,121,2020-10-02 14:26:52
2020-05-05,"71-80",0,121,2020-10-02 14:26:52
2020-05-06,"71-80",0,121,2020-10-02 14:26:52
2020-05-07,"71-80",0,121,2020-10-02 14:26:52
2020-05-08,"71-80",0,121,2020-10-02 14:26:52
2020-05-09,"71-80",0,121,2020-10-02 14:26:52
2020-05-10,"71-80",0,121,2020-10-02 14:26:52
2020-05-11,"71-80",1,122,2020-10-02 14:26:52
2020-05-12,"71-80",6,128,2020-10-02 14:26:52
2020-05-13,"71-80",0,128,2020-10-02 14:26:52
2020-05-14,"71-80",1,129,2020-10-02 14:26:52
2020-05-15,"71-80",1,130,2020-10-02 14:26:52
2020-05-16,"71-80",0,130,2020-10-02 14:26:52
2020-05-17,"71-80",2,132,2020-10-02 14:26:52
2020-05-18,"71-80",2,134,2020-10-02 14:26:52
2020-05-19,"71-80",1,135,2020-10-02 14:26:52
2020-05-20,"71-80",0,135,2020-10-02 14:26:52
2020-05-21,"71-80",0,135,2020-10-02 14:26:52
2020-05-22,"71-80",1,136,2020-10-02 14:26:52
2020-05-23,"71-80",0,136,2020-10-02 14:26:52
2020-05-24,"71-80",1,137,2020-10-02 14:26:52
2020-05-25,"71-80",0,137,2020-10-02 14:26:52
2020-05-26,"71-80",2,139,2020-10-02 14:26:52
2020-05-27,"71-80",3,142,2020-10-02 14:26:52
2020-05-28,"71-80",0,142,2020-10-02 14:26:52
2020-05-29,"71-80",1,143,2020-10-02 14:26:52
2020-05-30,"71-80",0,143,2020-10-02 14:26:52
2020-05-31,"71-80",1,144,2020-10-02 14:26:52
2020-06-01,"71-80",3,147,2020-10-02 14:26:52
2020-06-02,"71-80",1,148,2020-10-02 14:26:52
2020-06-03,"71-80",2,150,2020-10-02 14:26:52
2020-06-04,"71-80",1,151,2020-10-02 14:26:52
2020-06-05,"71-80",1,152,2020-10-02 14:26:52
2020-06-06,"71-80",1,153,2020-10-02 14:26:52
2020-06-07,"71-80",0,153,2020-10-02 14:26:52
2020-06-08,"71-80",2,155,2020-10-02 14:26:52
2020-06-09,"71-80",2,157,2020-10-02 14:26:52
2020-06-10,"71-80",0,157,2020-10-02 14:26:52
2020-06-11,"71-80",0,157,2020-10-02 14:26:52
2020-06-12,"71-80",0,157,2020-10-02 14:26:52
2020-06-13,"71-80",0,157,2020-10-02 14:26:52
2020-06-14,"71-80",0,157,2020-10-02 14:26:52
2020-06-15,"71-80",0,157,2020-10-02 14:26:52
2020-06-16,"71-80",2,159,2020-10-02 14:26:52
2020-06-17,"71-80",2,161,2020-10-02 14:26:52
2020-06-18,"71-80",1,162,2020-10-02 14:26:52
2020-06-19,"71-80",2,164,2020-10-02 14:26:52
2020-06-20,"71-80",0,164,2020-10-02 14:26:52
2020-06-21,"71-80",0,164,2020-10-02 14:26:52
2020-06-22,"71-80",5,169,2020-10-02 14:26:52
2020-06-23,"71-80",3,172,2020-10-02 14:26:52
2020-06-24,"71-80",1,173,2020-10-02 14:26:52
2020-06-25,"71-80",4,177,2020-10-02 14:26:52
2020-06-26,"71-80",4,181,2020-10-02 14:26:52
2020-06-27,"71-80",1,182,2020-10-02 14:26:52
2020-06-28,"71-80",1,183,2020-10-02 14:26:52
2020-06-29,"71-80",3,186,2020-10-02 14:26:52
2020-06-30,"71-80",3,189,2020-10-02 14:26:52
2020-07-01,"71-80",0,189,2020-10-02 14:26:52
2020-07-02,"71-80",0,189,2020-10-02 14:26:52
2020-07-03,"71-80",1,190,2020-10-02 14:26:52
2020-07-04,"71-80",0,190,2020-10-02 14:26:52
2020-07-05,"71-80",0,190,2020-10-02 14:26:52
2020-07-06,"71-80",2,192,2020-10-02 14:26:52
2020-07-07,"71-80",0,192,2020-10-02 14:26:52
2020-07-08,"71-80",6,198,2020-10-02 14:26:52
2020-07-09,"71-80",2,200,2020-10-02 14:26:52
2020-07-10,"71-80",1,201,2020-10-02 14:26:52
2020-07-11,"71-80",1,202,2020-10-02 14:26:52
2020-07-12,"71-80",2,204,2020-10-02 14:26:52
2020-07-13,"71-80",1,205,2020-10-02 14:26:52
2020-07-14,"71-80",1,206,2020-10-02 14:26:52
2020-07-15,"71-80",2,208,2020-10-02 14:26:52
2020-07-16,"71-80",3,211,2020-10-02 14:26:52
2020-07-17,"71-80",2,213,2020-10-02 14:26:52
2020-07-18,"71-80",2,215,2020-10-02 14:26:52
2020-07-19,"71-80",1,216,2020-10-02 14:26:52
2020-07-20,"71-80",3,219,2020-10-02 14:26:52
2020-07-21,"71-80",1,220,2020-10-02 14:26:52
2020-07-22,"71-80",4,224,2020-10-02 14:26:52
2020-07-23,"71-80",2,226,2020-10-02 14:26:52
2020-07-24,"71-80",3,229,2020-10-02 14:26:52
2020-07-25,"71-80",3,232,2020-10-02 14:26:52
2020-07-26,"71-80",1,233,2020-10-02 14:26:52
2020-07-27,"71-80",0,233,2020-10-02 14:26:52
2020-07-28,"71-80",6,239,2020-10-02 14:26:52
2020-07-29,"71-80",2,241,2020-10-02 14:26:52
2020-07-30,"71-80",2,243,2020-10-02 14:26:52
2020-07-31,"71-80",2,245,2020-10-02 14:26:52
2020-08-01,"71-80",5,250,2020-10-02 14:26:52
2020-08-02,"71-80",3,253,2020-10-02 14:26:52
